file_name,file_purpose,column_name,column_description,join_usage
raw_prospect_customer_profile.csv,New/prospect customer profiles for no-relationship pricing questions. Can be appended to curated customer master.,sales_channel,Sales channel,customer_id joins to memory and similarity; requested_product_id joins to product_master.product_id; customer_segment/risk_category joins to raw_customer_segment_pricing_rules.
raw_prospect_customer_profile.csv,New/prospect customer profiles for no-relationship pricing questions. Can be appended to curated customer master.,no_previous_relationship_flag,No previous relationship flag,customer_id joins to memory and similarity; requested_product_id joins to product_master.product_id; customer_segment/risk_category joins to raw_customer_segment_pricing_rules.
raw_prospect_customer_profile.csv,New/prospect customer profiles for no-relationship pricing questions. Can be appended to curated customer master.,onboarding_stage,Onboarding stage,customer_id joins to memory and similarity; requested_product_id joins to product_master.product_id; customer_segment/risk_category joins to raw_customer_segment_pricing_rules.
raw_prospect_customer_profile.csv,New/prospect customer profiles for no-relationship pricing questions. Can be appended to curated customer master.,source_system,Source system,customer_id joins to memory and similarity; requested_product_id joins to product_master.product_id; customer_segment/risk_category joins to raw_customer_segment_pricing_rules.
raw_prospect_customer_profile.csv,New/prospect customer profiles for no-relationship pricing questions. Can be appended to curated customer master.,source_file_name,Source file name,customer_id joins to memory and similarity; requested_product_id joins to product_master.product_id; customer_segment/risk_category joins to raw_customer_segment_pricing_rules.
raw_prospect_customer_profile.csv,New/prospect customer profiles for no-relationship pricing questions. Can be appended to curated customer master.,ingestion_batch_id,Raw ingestion batch identifier for lineage and traceability.,customer_id joins to memory and similarity; requested_product_id joins to product_master.product_id; customer_segment/risk_category joins to raw_customer_segment_pricing_rules.
raw_prospect_customer_profile.csv,New/prospect customer profiles for no-relationship pricing questions. Can be appended to curated customer master.,ingestion_timestamp,Timestamp when the synthetic record was landed in raw layer.,customer_id joins to memory and similarity; requested_product_id joins to product_master.product_id; customer_segment/risk_category joins to raw_customer_segment_pricing_rules.
raw_competitor_pricing.csv,Market and competitor rates by segment/product/tenor to support competitive pricing counter-offer analysis.,competitor_offer_id,Competitor offer id,product_id + customer_segment + tenor + currency joins to pricing request context; can compare with recommended_price_pct.
raw_competitor_pricing.csv,Market and competitor rates by segment/product/tenor to support competitive pricing counter-offer analysis.,competitor_name,Competitor name,product_id + customer_segment + tenor + currency joins to pricing request context; can compare with recommended_price_pct.
raw_competitor_pricing.csv,Market and competitor rates by segment/product/tenor to support competitive pricing counter-offer analysis.,customer_segment,Banking customer segment such as SME or Corporate.,product_id + customer_segment + tenor + currency joins to pricing request context; can compare with recommended_price_pct.
raw_competitor_pricing.csv,Market and competitor rates by segment/product/tenor to support competitive pricing counter-offer analysis.,industry,Industry,product_id + customer_segment + tenor + currency joins to pricing request context; can compare with recommended_price_pct.
raw_competitor_pricing.csv,Market and competitor rates by segment/product/tenor to support competitive pricing counter-offer analysis.,region,Region,product_id + customer_segment + tenor + currency joins to pricing request context; can compare with recommended_price_pct.
raw_competitor_pricing.csv,Market and competitor rates by segment/product/tenor to support competitive pricing counter-offer analysis.,product_id,Product identifier compatible with existing product_master product_id.,product_id + customer_segment + tenor + currency joins to pricing request context; can compare with recommended_price_pct.
raw_competitor_pricing.csv,Market and competitor rates by segment/product/tenor to support competitive pricing counter-offer analysis.,product_name,Product name,product_id + customer_segment + tenor + currency joins to pricing request context; can compare with recommended_price_pct.
raw_competitor_pricing.csv,Market and competitor rates by segment/product/tenor to support competitive pricing counter-offer analysis.,product_type,Product type,product_id + customer_segment + tenor + currency joins to pricing request context; can compare with recommended_price_pct.
raw_competitor_pricing.csv,Market and competitor rates by segment/product/tenor to support competitive pricing counter-offer analysis.,currency,Currency,product_id + customer_segment + tenor + currency joins to pricing request context; can compare with recommended_price_pct.
raw_competitor_pricing.csv,Market and competitor rates by segment/product/tenor to support competitive pricing counter-offer analysis.,tenor,Tenor,product_id + customer_segment + tenor + currency joins to pricing request context; can compare with recommended_price_pct.
raw_competitor_pricing.csv,Market and competitor rates by segment/product/tenor to support competitive pricing counter-offer analysis.,benchmark_index,Benchmark index,product_id + customer_segment + tenor + currency joins to pricing request context; can compare with recommended_price_pct.
raw_competitor_pricing.csv,Market and competitor rates by segment/product/tenor to support competitive pricing counter-offer analysis.,competitor_margin_pct,Competitor margin pct,product_id + customer_segment + tenor + currency joins to pricing request context; can compare with recommended_price_pct.
raw_competitor_pricing.csv,Market and competitor rates by segment/product/tenor to support competitive pricing counter-offer analysis.,competitor_total_rate_pct,Total competitor quoted rate used to compare FAB offer and decide competitive reduction.,product_id + customer_segment + tenor + currency joins to pricing request context; can compare with recommended_price_pct.
raw_competitor_pricing.csv,Market and competitor rates by segment/product/tenor to support competitive pricing counter-offer analysis.,processing_fee_pct,Processing fee pct,product_id + customer_segment + tenor + currency joins to pricing request context; can compare with recommended_price_pct.
raw_competitor_pricing.csv,Market and competitor rates by segment/product/tenor to support competitive pricing counter-offer analysis.,early_settlement_fee_pct,Early settlement fee pct,product_id + customer_segment + tenor + currency joins to pricing request context; can compare with recommended_price_pct.
raw_competitor_pricing.csv,Market and competitor rates by segment/product/tenor to support competitive pricing counter-offer analysis.,valid_from,Valid from,product_id + customer_segment + tenor + currency joins to pricing request context; can compare with recommended_price_pct.
raw_competitor_pricing.csv,Market and competitor rates by segment/product/tenor to support competitive pricing counter-offer analysis.,valid_to,Valid to,product_id + customer_segment + tenor + currency joins to pricing request context; can compare with recommended_price_pct.
raw_competitor_pricing.csv,Market and competitor rates by segment/product/tenor to support competitive pricing counter-offer analysis.,source_document_id,Source document id,product_id + customer_segment + tenor + currency joins to pricing request context; can compare with recommended_price_pct.
raw_competitor_pricing.csv,Market and competitor rates by segment/product/tenor to support competitive pricing counter-offer analysis.,source_document_name,Original document/file name from which this raw record is assumed to be extracted.,product_id + customer_segment + tenor + currency joins to pricing request context; can compare with recommended_price_pct.
raw_competitor_pricing.csv,Market and competitor rates by segment/product/tenor to support competitive pricing counter-offer analysis.,confidence_score_pct,Confidence score pct,product_id + customer_segment + tenor + currency joins to pricing request context; can compare with recommended_price_pct.
raw_competitor_pricing.csv,Market and competitor rates by segment/product/tenor to support competitive pricing counter-offer analysis.,source_system,Source system,product_id + customer_segment + tenor + currency joins to pricing request context; can compare with recommended_price_pct.
raw_competitor_pricing.csv,Market and competitor rates by segment/product/tenor to support competitive pricing counter-offer analysis.,source_file_name,Source file name,product_id + customer_segment + tenor + currency joins to pricing request context; can compare with recommended_price_pct.
raw_competitor_pricing.csv,Market and competitor rates by segment/product/tenor to support competitive pricing counter-offer analysis.,ingestion_batch_id,Raw ingestion batch identifier for lineage and traceability.,product_id + customer_segment + tenor + currency joins to pricing request context; can compare with recommended_price_pct.
raw_competitor_pricing.csv,Market and competitor rates by segment/product/tenor to support competitive pricing counter-offer analysis.,ingestion_timestamp,Timestamp when the synthetic record was landed in raw layer.,product_id + customer_segment + tenor + currency joins to pricing request context; can compare with recommended_price_pct.
raw_customer_segment_pricing_rules.csv,"Segment/risk/relationship pricing rules, buffers, approval thresholds, and floating-rate risk cushions.",segment_rule_id,Segment rule id,customer_segment + product_type + risk_category + relationship_status joins to customer/prospect profile and product_master.
raw_customer_segment_pricing_rules.csv,"Segment/risk/relationship pricing rules, buffers, approval thresholds, and floating-rate risk cushions.",customer_segment,Banking customer segment such as SME or Corporate.,customer_segment + product_type + risk_category + relationship_status joins to customer/prospect profile and product_master.
raw_customer_segment_pricing_rules.csv,"Segment/risk/relationship pricing rules, buffers, approval thresholds, and floating-rate risk cushions.",product_type,Product type,customer_segment + product_type + risk_category + relationship_status joins to customer/prospect profile and product_master.
raw_customer_segment_pricing_rules.csv,"Segment/risk/relationship pricing rules, buffers, approval thresholds, and floating-rate risk cushions.",risk_category,Risk category used for margin/risk premium logic.,customer_segment + product_type + risk_category + relationship_status joins to customer/prospect profile and product_master.
raw_customer_segment_pricing_rules.csv,"Segment/risk/relationship pricing rules, buffers, approval thresholds, and floating-rate risk cushions.",relationship_status,Relationship status,customer_segment + product_type + risk_category + relationship_status joins to customer/prospect profile and product_master.
raw_customer_segment_pricing_rules.csv,"Segment/risk/relationship pricing rules, buffers, approval thresholds, and floating-rate risk cushions.",annual_revenue_min_aed,Annual revenue min aed,customer_segment + product_type + risk_category + relationship_status joins to customer/prospect profile and product_master.
raw_customer_segment_pricing_rules.csv,"Segment/risk/relationship pricing rules, buffers, approval thresholds, and floating-rate risk cushions.",annual_revenue_max_aed,Annual revenue max aed,customer_segment + product_type + risk_category + relationship_status joins to customer/prospect profile and product_master.
raw_customer_segment_pricing_rules.csv,"Segment/risk/relationship pricing rules, buffers, approval thresholds, and floating-rate risk cushions.",base_margin_floor_pct,Base margin floor pct,customer_segment + product_type + risk_category + relationship_status joins to customer/prospect profile and product_master.
raw_customer_segment_pricing_rules.csv,"Segment/risk/relationship pricing rules, buffers, approval thresholds, and floating-rate risk cushions.",target_margin_pct,Target margin pct,customer_segment + product_type + risk_category + relationship_status joins to customer/prospect profile and product_master.
raw_customer_segment_pricing_rules.csv,"Segment/risk/relationship pricing rules, buffers, approval thresholds, and floating-rate risk cushions.",risk_premium_pct,Risk premium pct,customer_segment + product_type + risk_category + relationship_status joins to customer/prospect profile and product_master.
raw_customer_segment_pricing_rules.csv,"Segment/risk/relationship pricing rules, buffers, approval thresholds, and floating-rate risk cushions.",new_customer_buffer_pct,New customer buffer pct,customer_segment + product_type + risk_category + relationship_status joins to customer/prospect profile and product_master.
raw_customer_segment_pricing_rules.csv,"Segment/risk/relationship pricing rules, buffers, approval thresholds, and floating-rate risk cushions.",max_relationship_discount_pct,Max relationship discount pct,customer_segment + product_type + risk_category + relationship_status joins to customer/prospect profile and product_master.
raw_customer_segment_pricing_rules.csv,"Segment/risk/relationship pricing rules, buffers, approval thresholds, and floating-rate risk cushions.",min_profitability_margin_pct,Min profitability margin pct,customer_segment + product_type + risk_category + relationship_status joins to customer/prospect profile and product_master.
raw_customer_segment_pricing_rules.csv,"Segment/risk/relationship pricing rules, buffers, approval thresholds, and floating-rate risk cushions.",approval_required_if_discount_above_pct,Approval required if discount above pct,customer_segment + product_type + risk_category + relationship_status joins to customer/prospect profile and product_master.
raw_customer_segment_pricing_rules.csv,"Segment/risk/relationship pricing rules, buffers, approval thresholds, and floating-rate risk cushions.",pricing_cushion_for_rating_drop_pct,Pricing cushion for rating drop pct,customer_segment + product_type + risk_category + relationship_status joins to customer/prospect profile and product_master.
raw_customer_segment_pricing_rules.csv,"Segment/risk/relationship pricing rules, buffers, approval thresholds, and floating-rate risk cushions.",floating_rate_required_for_high_risk_flag,Floating rate required for high risk flag,customer_segment + product_type + risk_category + relationship_status joins to customer/prospect profile and product_master.
raw_customer_segment_pricing_rules.csv,"Segment/risk/relationship pricing rules, buffers, approval thresholds, and floating-rate risk cushions.",rule_effective_date,Rule effective date,customer_segment + product_type + risk_category + relationship_status joins to customer/prospect profile and product_master.
raw_customer_segment_pricing_rules.csv,"Segment/risk/relationship pricing rules, buffers, approval thresholds, and floating-rate risk cushions.",rule_status,Rule status,customer_segment + product_type + risk_category + relationship_status joins to customer/prospect profile and product_master.
raw_customer_segment_pricing_rules.csv,"Segment/risk/relationship pricing rules, buffers, approval thresholds, and floating-rate risk cushions.",source_document_id,Source document id,customer_segment + product_type + risk_category + relationship_status joins to customer/prospect profile and product_master.
raw_customer_segment_pricing_rules.csv,"Segment/risk/relationship pricing rules, buffers, approval thresholds, and floating-rate risk cushions.",source_document_name,Original document/file name from which this raw record is assumed to be extracted.,customer_segment + product_type + risk_category + relationship_status joins to customer/prospect profile and product_master.
raw_customer_segment_pricing_rules.csv,"Segment/risk/relationship pricing rules, buffers, approval thresholds, and floating-rate risk cushions.",source_system,Source system,customer_segment + product_type + risk_category + relationship_status joins to customer/prospect profile and product_master.
raw_customer_segment_pricing_rules.csv,"Segment/risk/relationship pricing rules, buffers, approval thresholds, and floating-rate risk cushions.",source_file_name,Source file name,customer_segment + product_type + risk_category + relationship_status joins to customer/prospect profile and product_master.
raw_customer_segment_pricing_rules.csv,"Segment/risk/relationship pricing rules, buffers, approval thresholds, and floating-rate risk cushions.",ingestion_batch_id,Raw ingestion batch identifier for lineage and traceability.,customer_segment + product_type + risk_category + relationship_status joins to customer/prospect profile and product_master.
raw_customer_segment_pricing_rules.csv,"Segment/risk/relationship pricing rules, buffers, approval thresholds, and floating-rate risk cushions.",ingestion_timestamp,Timestamp when the synthetic record was landed in raw layer.,customer_segment + product_type + risk_category + relationship_status joins to customer/prospect profile and product_master.
raw_operations_cost.csv,"Operational cost allocation by product, customer segment, and channel for profitability floor calculations.",ops_cost_id,Ops cost id,product_id + customer_segment + sales_channel joins to customer/prospect request; ops_cost_margin_pct feeds profitability floor.
raw_operations_cost.csv,"Operational cost allocation by product, customer segment, and channel for profitability floor calculations.",product_id,Product identifier compatible with existing product_master product_id.,product_id + customer_segment + sales_channel joins to customer/prospect request; ops_cost_margin_pct feeds profitability floor.
raw_operations_cost.csv,"Operational cost allocation by product, customer segment, and channel for profitability floor calculations.",product_name,Product name,product_id + customer_segment + sales_channel joins to customer/prospect request; ops_cost_margin_pct feeds profitability floor.
raw_operations_cost.csv,"Operational cost allocation by product, customer segment, and channel for profitability floor calculations.",product_type,Product type,product_id + customer_segment + sales_channel joins to customer/prospect request; ops_cost_margin_pct feeds profitability floor.
raw_operations_cost.csv,"Operational cost allocation by product, customer segment, and channel for profitability floor calculations.",customer_segment,Banking customer segment such as SME or Corporate.,product_id + customer_segment + sales_channel joins to customer/prospect request; ops_cost_margin_pct feeds profitability floor.
raw_operations_cost.csv,"Operational cost allocation by product, customer segment, and channel for profitability floor calculations.",sales_channel,Sales channel,product_id + customer_segment + sales_channel joins to customer/prospect request; ops_cost_margin_pct feeds profitability floor.
raw_operations_cost.csv,"Operational cost allocation by product, customer segment, and channel for profitability floor calculations.",base_ticket_size_aed,Base ticket size aed,product_id + customer_segment + sales_channel joins to customer/prospect request; ops_cost_margin_pct feeds profitability floor.
raw_operations_cost.csv,"Operational cost allocation by product, customer segment, and channel for profitability floor calculations.",onboarding_cost_aed,Onboarding cost aed,product_id + customer_segment + sales_channel joins to customer/prospect request; ops_cost_margin_pct feeds profitability floor.
raw_operations_cost.csv,"Operational cost allocation by product, customer segment, and channel for profitability floor calculations.",monthly_servicing_cost_aed,Monthly servicing cost aed,product_id + customer_segment + sales_channel joins to customer/prospect request; ops_cost_margin_pct feeds profitability floor.
raw_operations_cost.csv,"Operational cost allocation by product, customer segment, and channel for profitability floor calculations.",transaction_processing_cost_aed,Transaction processing cost aed,product_id + customer_segment + sales_channel joins to customer/prospect request; ops_cost_margin_pct feeds profitability floor.
raw_operations_cost.csv,"Operational cost allocation by product, customer segment, and channel for profitability floor calculations.",kyc_review_cost_aed,Kyc review cost aed,product_id + customer_segment + sales_channel joins to customer/prospect request; ops_cost_margin_pct feeds profitability floor.
raw_operations_cost.csv,"Operational cost allocation by product, customer segment, and channel for profitability floor calculations.",exception_handling_cost_aed,Exception handling cost aed,product_id + customer_segment + sales_channel joins to customer/prospect request; ops_cost_margin_pct feeds profitability floor.
raw_operations_cost.csv,"Operational cost allocation by product, customer segment, and channel for profitability floor calculations.",annual_operating_cost_aed,Annual operating cost aed,product_id + customer_segment + sales_channel joins to customer/prospect request; ops_cost_margin_pct feeds profitability floor.
raw_operations_cost.csv,"Operational cost allocation by product, customer segment, and channel for profitability floor calculations.",ops_cost_margin_pct,Operational cost converted to an approximate pricing margin impact.,product_id + customer_segment + sales_channel joins to customer/prospect request; ops_cost_margin_pct feeds profitability floor.
raw_operations_cost.csv,"Operational cost allocation by product, customer segment, and channel for profitability floor calculations.",cost_effective_date,Cost effective date,product_id + customer_segment + sales_channel joins to customer/prospect request; ops_cost_margin_pct feeds profitability floor.
raw_operations_cost.csv,"Operational cost allocation by product, customer segment, and channel for profitability floor calculations.",source_document_id,Source document id,product_id + customer_segment + sales_channel joins to customer/prospect request; ops_cost_margin_pct feeds profitability floor.
raw_operations_cost.csv,"Operational cost allocation by product, customer segment, and channel for profitability floor calculations.",source_document_name,Original document/file name from which this raw record is assumed to be extracted.,product_id + customer_segment + sales_channel joins to customer/prospect request; ops_cost_margin_pct feeds profitability floor.
raw_operations_cost.csv,"Operational cost allocation by product, customer segment, and channel for profitability floor calculations.",source_system,Source system,product_id + customer_segment + sales_channel joins to customer/prospect request; ops_cost_margin_pct feeds profitability floor.
raw_operations_cost.csv,"Operational cost allocation by product, customer segment, and channel for profitability floor calculations.",source_file_name,Source file name,product_id + customer_segment + sales_channel joins to customer/prospect request; ops_cost_margin_pct feeds profitability floor.
raw_operations_cost.csv,"Operational cost allocation by product, customer segment, and channel for profitability floor calculations.",ingestion_batch_id,Raw ingestion batch identifier for lineage and traceability.,product_id + customer_segment + sales_channel joins to customer/prospect request; ops_cost_margin_pct feeds profitability floor.
raw_operations_cost.csv,"Operational cost allocation by product, customer segment, and channel for profitability floor calculations.",ingestion_timestamp,Timestamp when the synthetic record was landed in raw layer.,product_id + customer_segment + sales_channel joins to customer/prospect request; ops_cost_margin_pct feeds profitability floor.
raw_cross_sell_recommendation_rules.csv,"Cross-sell rule catalog for suggesting adjacent products based on current product, segment, industry, and triggers.",cross_sell_rule_id,Cross sell rule id,primary_product_id + customer_segment + industry joins to customer request; recommended_product_id joins product_master.
raw_cross_sell_recommendation_rules.csv,"Cross-sell rule catalog for suggesting adjacent products based on current product, segment, industry, and triggers.",primary_product_id,Product identifier compatible with existing product_master product_id.,primary_product_id + customer_segment + industry joins to customer request; recommended_product_id joins product_master.
raw_cross_sell_recommendation_rules.csv,"Cross-sell rule catalog for suggesting adjacent products based on current product, segment, industry, and triggers.",primary_product_name,Primary product name,primary_product_id + customer_segment + industry joins to customer request; recommended_product_id joins product_master.
raw_cross_sell_recommendation_rules.csv,"Cross-sell rule catalog for suggesting adjacent products based on current product, segment, industry, and triggers.",customer_segment,Banking customer segment such as SME or Corporate.,primary_product_id + customer_segment + industry joins to customer request; recommended_product_id joins product_master.
raw_cross_sell_recommendation_rules.csv,"Cross-sell rule catalog for suggesting adjacent products based on current product, segment, industry, and triggers.",industry,Industry,primary_product_id + customer_segment + industry joins to customer request; recommended_product_id joins product_master.
raw_cross_sell_recommendation_rules.csv,"Cross-sell rule catalog for suggesting adjacent products based on current product, segment, industry, and triggers.",trigger_condition,Trigger condition,primary_product_id + customer_segment + industry joins to customer request; recommended_product_id joins product_master.
raw_cross_sell_recommendation_rules.csv,"Cross-sell rule catalog for suggesting adjacent products based on current product, segment, industry, and triggers.",recommended_product_id,Product identifier compatible with existing product_master product_id.,primary_product_id + customer_segment + industry joins to customer request; recommended_product_id joins product_master.
raw_cross_sell_recommendation_rules.csv,"Cross-sell rule catalog for suggesting adjacent products based on current product, segment, industry, and triggers.",recommended_product_name,Recommended product name,primary_product_id + customer_segment + industry joins to customer request; recommended_product_id joins product_master.
raw_cross_sell_recommendation_rules.csv,"Cross-sell rule catalog for suggesting adjacent products based on current product, segment, industry, and triggers.",expected_incremental_revenue_aed,Expected incremental revenue aed,primary_product_id + customer_segment + industry joins to customer request; recommended_product_id joins product_master.
raw_cross_sell_recommendation_rules.csv,"Cross-sell rule catalog for suggesting adjacent products based on current product, segment, industry, and triggers.",cross_sell_priority,Cross sell priority,primary_product_id + customer_segment + industry joins to customer request; recommended_product_id joins product_master.
raw_cross_sell_recommendation_rules.csv,"Cross-sell rule catalog for suggesting adjacent products based on current product, segment, industry, and triggers.",rationale,Rationale,primary_product_id + customer_segment + industry joins to customer request; recommended_product_id joins product_master.
raw_cross_sell_recommendation_rules.csv,"Cross-sell rule catalog for suggesting adjacent products based on current product, segment, industry, and triggers.",source_document_id,Source document id,primary_product_id + customer_segment + industry joins to customer request; recommended_product_id joins product_master.
raw_cross_sell_recommendation_rules.csv,"Cross-sell rule catalog for suggesting adjacent products based on current product, segment, industry, and triggers.",source_document_name,Original document/file name from which this raw record is assumed to be extracted.,primary_product_id + customer_segment + industry joins to customer request; recommended_product_id joins product_master.
raw_cross_sell_recommendation_rules.csv,"Cross-sell rule catalog for suggesting adjacent products based on current product, segment, industry, and triggers.",rule_status,Rule status,primary_product_id + customer_segment + industry joins to customer request; recommended_product_id joins product_master.
raw_cross_sell_recommendation_rules.csv,"Cross-sell rule catalog for suggesting adjacent products based on current product, segment, industry, and triggers.",source_system,Source system,primary_product_id + customer_segment + industry joins to customer request; recommended_product_id joins product_master.
raw_cross_sell_recommendation_rules.csv,"Cross-sell rule catalog for suggesting adjacent products based on current product, segment, industry, and triggers.",source_file_name,Source file name,primary_product_id + customer_segment + industry joins to customer request; recommended_product_id joins product_master.
raw_cross_sell_recommendation_rules.csv,"Cross-sell rule catalog for suggesting adjacent products based on current product, segment, industry, and triggers.",ingestion_batch_id,Raw ingestion batch identifier for lineage and traceability.,primary_product_id + customer_segment + industry joins to customer request; recommended_product_id joins product_master.
raw_cross_sell_recommendation_rules.csv,"Cross-sell rule catalog for suggesting adjacent products based on current product, segment, industry, and triggers.",ingestion_timestamp,Timestamp when the synthetic record was landed in raw layer.,primary_product_id + customer_segment + industry joins to customer request; recommended_product_id joins product_master.
raw_credit_rating_events.csv,Customer rating downgrade events and recommended pricing cushion actions.,rating_event_id,Rating event id,customer_id joins to customer_master/prospect; new_risk_category joins segment rules for revised risk premium.
raw_credit_rating_events.csv,Customer rating downgrade events and recommended pricing cushion actions.,customer_id,Unique customer identifier compatible with existing customer_master customer_id.,customer_id joins to customer_master/prospect; new_risk_category joins segment rules for revised risk premium.
raw_credit_rating_events.csv,Customer rating downgrade events and recommended pricing cushion actions.,customer_name,Customer name,customer_id joins to customer_master/prospect; new_risk_category joins segment rules for revised risk premium.
raw_credit_rating_events.csv,Customer rating downgrade events and recommended pricing cushion actions.,event_date,Event date,customer_id joins to customer_master/prospect; new_risk_category joins segment rules for revised risk premium.
raw_credit_rating_events.csv,Customer rating downgrade events and recommended pricing cushion actions.,old_internal_rating,Old internal rating,customer_id joins to customer_master/prospect; new_risk_category joins segment rules for revised risk premium.
raw_credit_rating_events.csv,Customer rating downgrade events and recommended pricing cushion actions.,new_internal_rating,New internal rating,customer_id joins to customer_master/prospect; new_risk_category joins segment rules for revised risk premium.
raw_credit_rating_events.csv,Customer rating downgrade events and recommended pricing cushion actions.,old_risk_category,Risk category used for margin/risk premium logic.,customer_id joins to customer_master/prospect; new_risk_category joins segment rules for revised risk premium.
raw_credit_rating_events.csv,Customer rating downgrade events and recommended pricing cushion actions.,new_risk_category,Risk category used for margin/risk premium logic.,customer_id joins to customer_master/prospect; new_risk_category joins segment rules for revised risk premium.
raw_credit_rating_events.csv,Customer rating downgrade events and recommended pricing cushion actions.,rating_change_direction,Rating change direction,customer_id joins to customer_master/prospect; new_risk_category joins segment rules for revised risk premium.
raw_credit_rating_events.csv,Customer rating downgrade events and recommended pricing cushion actions.,reason_code,Reason code,customer_id joins to customer_master/prospect; new_risk_category joins segment rules for revised risk premium.
