cross_sell_rule_id,primary_product_id,primary_product_name,customer_segment,industry,trigger_condition,recommended_product_id,recommended_product_name,expected_incremental_revenue_aed,cross_sell_priority,rationale,source_document_id,source_document_name,rule_status,source_system,source_file_name,ingestion_batch_id,ingestion_timestamp
XSELL0020,PROD003,Trade Finance LC,SME,Healthcare,High utilization of facility,PROD001,Working Capital Loan,45000,Medium,Short term working capital can support inventory build-up.,DOC_XSELL_004,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0021,PROD003,Trade Finance LC,Corporate,FMCG,Surplus monthly cash balance,PROD004,Invoice Discounting,120000,Low,LC users may require receivable financing after shipment.,DOC_XSELL_001,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0022,PROD003,Trade Finance LC,Corporate,Trading,Receivable concentration,PROD004,Invoice Discounting,180000,Medium,LC users may require receivable financing after shipment.,DOC_XSELL_002,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0023,PROD003,Trade Finance LC,Corporate,Healthcare,Recurring supplier payments,PROD001,Working Capital Loan,25000,Low,Short term working capital can support inventory build-up.,DOC_XSELL_001,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0024,PROD003,Trade Finance LC,Corporate,Retail,High utilization of facility,PROD004,Invoice Discounting,120000,High,LC users may require receivable financing after shipment.,DOC_XSELL_002,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0025,PROD004,Invoice Discounting,SME,FMCG,Foreign currency exposure,PROD008,Corporate Deposit,45000,Low,Cash collections can be swept to deposit product.,DOC_XSELL_002,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0026,PROD004,Invoice Discounting,SME,Construction,Import/export transaction pattern,PROD008,Corporate Deposit,180000,Medium,Cash collections can be swept to deposit product.,DOC_XSELL_001,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0027,PROD004,Invoice Discounting,SME,Energy,Foreign currency exposure,PROD008,Corporate Deposit,75000,Medium,Cash collections can be swept to deposit product.,DOC_XSELL_001,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0028,PROD004,Invoice Discounting,SME,Healthcare,Receivable concentration,PROD008,Corporate Deposit,75000,Low,Cash collections can be swept to deposit product.,DOC_XSELL_002,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0029,PROD004,Invoice Discounting,Corporate,FMCG,Recurring supplier payments,PROD008,Corporate Deposit,180000,Low,Cash collections can be swept to deposit product.,DOC_XSELL_004,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0030,PROD004,Invoice Discounting,Corporate,Energy,Import/export transaction pattern,PROD008,Corporate Deposit,250000,Medium,Cash collections can be swept to deposit product.,DOC_XSELL_004,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0031,PROD004,Invoice Discounting,Corporate,Marine Services,Foreign currency exposure,PROD001,Working Capital Loan,25000,Medium,Receivable financing customer may need broader working capital line.,DOC_XSELL_004,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0032,PROD004,Invoice Discounting,Corporate,Retail,Foreign currency exposure,PROD008,Corporate Deposit,250000,Medium,Cash collections can be swept to deposit product.,DOC_XSELL_004,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0033,PROD005,Overdraft Facility,SME,Trading,Foreign currency exposure,PROD001,Working Capital Loan,25000,Low,Overdraft utilization suggests need for structured working capital loan.,DOC_XSELL_001,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0034,PROD005,Overdraft Facility,SME,Retail,Foreign currency exposure,PROD001,Working Capital Loan,250000,Medium,Overdraft utilization suggests need for structured working capital loan.,DOC_XSELL_001,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0035,PROD005,Overdraft Facility,SME,Logistics,Surplus monthly cash balance,PROD003,Trade Finance LC,75000,Low,Frequent supplier payments may indicate trade finance need.,DOC_XSELL_001,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0036,PROD005,Overdraft Facility,SME,Technology,Receivable concentration,PROD003,Trade Finance LC,180000,Low,Frequent supplier payments may indicate trade finance need.,DOC_XSELL_003,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0037,PROD005,Overdraft Facility,Corporate,FMCG,Import/export transaction pattern,PROD001,Working Capital Loan,250000,Medium,Overdraft utilization suggests need for structured working capital loan.,DOC_XSELL_002,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0038,PROD005,Overdraft Facility,Corporate,Energy,Foreign currency exposure,PROD001,Working Capital Loan,25000,High,Overdraft utilization suggests need for structured working capital loan.,DOC_XSELL_004,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0039,PROD005,Overdraft Facility,Corporate,Trading,Receivable concentration,PROD001,Working Capital Loan,75000,High,Overdraft utilization suggests need for structured working capital loan.,DOC_XSELL_001,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0040,PROD005,Overdraft Facility,Corporate,Construction,High utilization of facility,PROD003,Trade Finance LC,75000,Medium,Frequent supplier payments may indicate trade finance need.,DOC_XSELL_003,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0041,PROD006,USD Term Loan,SME,Technology,Recurring supplier payments,PROD008,Corporate Deposit,250000,Medium,Cross-sell corporate deposit for relationship stickiness.,DOC_XSELL_002,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0042,PROD006,USD Term Loan,SME,Retail,High utilization of facility,PROD007,FX Forward Facility,180000,Low,USD borrowing should be paired with FX hedging.,DOC_XSELL_002,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0043,PROD006,USD Term Loan,SME,Healthcare,Recurring supplier payments,PROD008,Corporate Deposit,45000,Medium,Cross-sell corporate deposit for relationship stickiness.,DOC_XSELL_004,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0044,PROD006,USD Term Loan,SME,Construction,Foreign currency exposure,PROD008,Corporate Deposit,75000,High,Cross-sell corporate deposit for relationship stickiness.,DOC_XSELL_004,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0045,PROD006,USD Term Loan,Corporate,Construction,Surplus monthly cash balance,PROD008,Corporate Deposit,180000,Medium,Cross-sell corporate deposit for relationship stickiness.,DOC_XSELL_004,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0046,PROD006,USD Term Loan,Corporate,Energy,Foreign currency exposure,PROD008,Corporate Deposit,75000,Medium,Cross-sell corporate deposit for relationship stickiness.,DOC_XSELL_004,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0047,PROD006,USD Term Loan,Corporate,Retail,High utilization of facility,PROD008,Corporate Deposit,45000,Low,Cross-sell corporate deposit for relationship stickiness.,DOC_XSELL_003,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0048,PROD006,USD Term Loan,Corporate,Trading,Receivable concentration,PROD008,Corporate Deposit,75000,High,Cross-sell corporate deposit for relationship stickiness.,DOC_XSELL_004,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0049,PROD007,FX Forward Facility,SME,Construction,Surplus monthly cash balance,PROD003,Trade Finance LC,45000,Medium,FX customers often have trade flows.,DOC_XSELL_002,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0050,PROD007,FX Forward Facility,SME,Trading,Recurring supplier payments,PROD006,USD Term Loan,75000,Medium,FX hedging customer may have USD funding need.,DOC_XSELL_001,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0051,PROD007,FX Forward Facility,SME,Energy,Surplus monthly cash balance,PROD006,USD Term Loan,120000,High,FX hedging customer may have USD funding need.,DOC_XSELL_003,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0052,PROD007,FX Forward Facility,SME,Marine Services,High utilization of facility,PROD006,USD Term Loan,75000,Medium,FX hedging customer may have USD funding need.,DOC_XSELL_004,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0053,PROD007,FX Forward Facility,Corporate,Retail,Recurring supplier payments,PROD003,Trade Finance LC,180000,Medium,FX customers often have trade flows.,DOC_XSELL_002,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0054,PROD007,FX Forward Facility,Corporate,Healthcare,Foreign currency exposure,PROD003,Trade Finance LC,75000,Medium,FX customers often have trade flows.,DOC_XSELL_001,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0055,PROD007,FX Forward Facility,Corporate,Marine Services,High utilization of facility,PROD003,Trade Finance LC,45000,Medium,FX customers often have trade flows.,DOC_XSELL_004,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0056,PROD007,FX Forward Facility,Corporate,Technology,High utilization of facility,PROD003,Trade Finance LC,120000,High,FX customers often have trade flows.,DOC_XSELL_003,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0057,PROD008,Corporate Deposit,SME,Energy,Recurring supplier payments,PROD007,FX Forward Facility,120000,Medium,Customers with USD deposits may need FX hedging.,DOC_XSELL_001,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0058,PROD008,Corporate Deposit,SME,Manufacturing,Foreign currency exposure,PROD001,Working Capital Loan,25000,Medium,Deposit customer may need short term financing.,DOC_XSELL_002,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0059,PROD008,Corporate Deposit,SME,FMCG,Receivable concentration,PROD001,Working Capital Loan,120000,Medium,Deposit customer may need short term financing.,DOC_XSELL_004,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0060,PROD008,Corporate Deposit,SME,Retail,Import/export transaction pattern,PROD001,Working Capital Loan,25000,High,Deposit customer may need short term financing.,DOC_XSELL_003,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0061,PROD008,Corporate Deposit,Corporate,FMCG,Foreign currency exposure,PROD001,Working Capital Loan,120000,Medium,Deposit customer may need short term financing.,DOC_XSELL_004,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0062,PROD008,Corporate Deposit,Corporate,Manufacturing,Foreign currency exposure,PROD001,Working Capital Loan,250000,High,Deposit customer may need short term financing.,DOC_XSELL_004,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0063,PROD008,Corporate Deposit,Corporate,Energy,Surplus monthly cash balance,PROD007,FX Forward Facility,25000,Medium,Customers with USD deposits may need FX hedging.,DOC_XSELL_002,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0064,PROD008,Corporate Deposit,Corporate,Marine Services,Foreign currency exposure,PROD007,FX Forward Facility,45000,Medium,Customers with USD deposits may need FX hedging.,DOC_XSELL_001,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
