deal_id,rule_id,rule_version,policy_id,expected_margin_pct,policy_min_margin_pct,margin_shortfall,severity,reason,evaluation_timestamp,source_file,load_timestamp
DEAL013,RULE_001,1.0.0,POL024,-1.1,0.7,1.8,CRITICAL,Expected margin (-1.1%) is below the applicable policy minimum (0.7%) for policy POL024; shortfall=1.8pp. Additionally below the absolute profitability floor of 0.1%.,2026-07-29T11:45:14.400128+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.436799+00:00
DEAL014,RULE_001,1.0.0,POL013,1.0,2.0,1.0,STANDARD,Expected margin (1.0%) is below the applicable policy minimum (2.0%) for policy POL013; shortfall=1.0pp.,2026-07-29T11:45:14.401335+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.436829+00:00
DEAL015,RULE_001,1.0.0,POL010,-0.05,0.45,0.5,CRITICAL,Expected margin (-0.05%) is below the applicable policy minimum (0.45%) for policy POL010; shortfall=0.5pp. Additionally below the absolute profitability floor of 0.1%.,2026-07-29T11:45:14.402351+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.436858+00:00
DEAL016,RULE_001,1.0.0,POL013,1.0,2.0,1.0,STANDARD,Expected margin (1.0%) is below the applicable policy minimum (2.0%) for policy POL013; shortfall=1.0pp.,2026-07-29T11:45:14.403129+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.436888+00:00
DEAL017,RULE_001,1.0.0,POL004,0.95,1.55,0.6,STANDARD,Expected margin (0.95%) is below the applicable policy minimum (1.55%) for policy POL004; shortfall=0.6pp.,2026-07-29T11:45:14.403735+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.436917+00:00
DEAL018,RULE_001,1.0.0,POL017,0.82,1.5,0.68,STANDARD,Expected margin (0.82%) is below the applicable policy minimum (1.5%) for policy POL017; shortfall=0.68pp.,2026-07-29T11:45:14.404420+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.436948+00:00
DEAL020,RULE_001,1.0.0,POL014,1.8,2.2,0.4,STANDARD,Expected margin (1.8%) is below the applicable policy minimum (2.2%) for policy POL014; shortfall=0.4pp.,2026-07-29T11:45:14.406437+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.436979+00:00
DEAL021,RULE_001,1.0.0,POL002,1.52,2.45,0.93,STANDARD,Expected margin (1.52%) is below the applicable policy minimum (2.45%) for policy POL002; shortfall=0.93pp.,2026-07-29T11:45:14.407044+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437008+00:00
DEAL022,RULE_001,1.0.0,POL022,0.15,0.2,0.05,STANDARD,Expected margin (0.15%) is below the applicable policy minimum (0.2%) for policy POL022; shortfall=0.05pp.,2026-07-29T11:45:14.407649+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437038+00:00
DEAL023,RULE_001,1.0.0,POL004,0.85,1.55,0.7,STANDARD,Expected margin (0.85%) is below the applicable policy minimum (1.55%) for policy POL004; shortfall=0.7pp.,2026-07-29T11:45:14.408214+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437068+00:00
DEAL024,RULE_001,1.0.0,POL014,1.9,2.2,0.3,STANDARD,Expected margin (1.9%) is below the applicable policy minimum (2.2%) for policy POL014; shortfall=0.3pp.,2026-07-29T11:45:14.408777+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437098+00:00
DEAL025,RULE_001,1.0.0,POL002,1.7,2.45,0.75,STANDARD,Expected margin (1.7%) is below the applicable policy minimum (2.45%) for policy POL002; shortfall=0.75pp.,2026-07-29T11:45:14.409352+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437128+00:00
DEAL026,RULE_001,1.0.0,POL014,1.8,2.2,0.4,STANDARD,Expected margin (1.8%) is below the applicable policy minimum (2.2%) for policy POL014; shortfall=0.4pp.,2026-07-29T11:45:14.409919+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437158+00:00
DEAL027,RULE_001,1.0.0,POL013,0.95,2.0,1.05,STANDARD,Expected margin (0.95%) is below the applicable policy minimum (2.0%) for policy POL013; shortfall=1.05pp.,2026-07-29T11:45:14.411395+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437188+00:00
DEAL028,RULE_001,1.0.0,POL016,0.55,1.3,0.75,CRITICAL,Expected margin (0.55%) is below the applicable policy minimum (1.3%) for policy POL016; shortfall=0.75pp. Additionally below the absolute profitability floor of 0.75%.,2026-07-29T11:45:14.412636+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437218+00:00
DEAL029,RULE_001,1.0.0,POL024,-1.0,0.7,1.7,CRITICAL,Expected margin (-1.0%) is below the applicable policy minimum (0.7%) for policy POL024; shortfall=1.7pp. Additionally below the absolute profitability floor of 0.1%.,2026-07-29T11:45:14.413313+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437248+00:00
DEAL030,RULE_001,1.0.0,POL021,1.02,1.1,0.08,STANDARD,Expected margin (1.02%) is below the applicable policy minimum (1.1%) for policy POL021; shortfall=0.08pp.,2026-07-29T11:45:14.413912+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437277+00:00
DEAL032,RULE_001,1.0.0,POL010,-0.0,0.45,0.45,CRITICAL,Expected margin (-0.0%) is below the applicable policy minimum (0.45%) for policy POL010; shortfall=0.45pp. Additionally below the absolute profitability floor of 0.1%.,2026-07-29T11:45:14.415165+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437307+00:00
DEAL033,RULE_001,1.0.0,POL005,1.05,1.75,0.7,STANDARD,Expected margin (1.05%) is below the applicable policy minimum (1.75%) for policy POL005; shortfall=0.7pp.,2026-07-29T11:45:14.415818+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437336+00:00
DEAL035,RULE_001,1.0.0,POL005,1.05,1.75,0.7,STANDARD,Expected margin (1.05%) is below the applicable policy minimum (1.75%) for policy POL005; shortfall=0.7pp.,2026-07-29T11:45:14.417348+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437365+00:00
DEAL036,RULE_001,1.0.0,POL015,2.2,2.5,0.3,STANDARD,Expected margin (2.2%) is below the applicable policy minimum (2.5%) for policy POL015; shortfall=0.3pp.,2026-07-29T11:45:14.417928+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437395+00:00
DEAL038,RULE_001,1.0.0,POL014,1.9,2.2,0.3,STANDARD,Expected margin (1.9%) is below the applicable policy minimum (2.2%) for policy POL014; shortfall=0.3pp.,2026-07-29T11:45:14.419107+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437426+00:00
DEAL039,RULE_001,1.0.0,POL022,0.05,0.2,0.15,CRITICAL,Expected margin (0.05%) is below the applicable policy minimum (0.2%) for policy POL022; shortfall=0.15pp. Additionally below the absolute profitability floor of 0.1%.,2026-07-29T11:45:14.419675+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437456+00:00
DEAL040,RULE_001,1.0.0,POL011,-0.5,0.65,1.15,CRITICAL,Expected margin (-0.5%) is below the applicable policy minimum (0.65%) for policy POL011; shortfall=1.15pp. Additionally below the absolute profitability floor of 0.1%.,2026-07-29T11:45:14.420317+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437486+00:00
DEAL041,RULE_001,1.0.0,POL005,0.9,1.75,0.85,STANDARD,Expected margin (0.9%) is below the applicable policy minimum (1.75%) for policy POL005; shortfall=0.85pp.,2026-07-29T11:45:14.420940+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437515+00:00
DEAL042,RULE_001,1.0.0,POL019,-0.1,0.6,0.7,CRITICAL,Expected margin (-0.1%) is below the applicable policy minimum (0.6%) for policy POL019; shortfall=0.7pp. Additionally below the absolute profitability floor of 0.75%.,2026-07-29T11:45:14.421541+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437544+00:00
DEAL043,RULE_001,1.0.0,POL014,1.67,2.2,0.53,STANDARD,Expected margin (1.67%) is below the applicable policy minimum (2.2%) for policy POL014; shortfall=0.53pp.,2026-07-29T11:45:14.422156+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437572+00:00
DEAL044,RULE_001,1.0.0,POL013,1.25,2.0,0.75,STANDARD,Expected margin (1.25%) is below the applicable policy minimum (2.0%) for policy POL013; shortfall=0.75pp.,2026-07-29T11:45:14.422756+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437601+00:00
DEAL045,RULE_001,1.0.0,POL011,-0.58,0.65,1.23,CRITICAL,Expected margin (-0.58%) is below the applicable policy minimum (0.65%) for policy POL011; shortfall=1.23pp. Additionally below the absolute profitability floor of 0.1%.,2026-07-29T11:45:14.423319+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437630+00:00
DEAL046,RULE_001,1.0.0,POL013,1.5,2.0,0.5,STANDARD,Expected margin (1.5%) is below the applicable policy minimum (2.0%) for policy POL013; shortfall=0.5pp.,2026-07-29T11:45:14.423883+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437660+00:00
DEAL047,RULE_001,1.0.0,POL007,-0.0,0.85,0.85,CRITICAL,Expected margin (-0.0%) is below the applicable policy minimum (0.85%) for policy POL007; shortfall=0.85pp. Additionally below the absolute profitability floor of 0.75%.,2026-07-29T11:45:14.424483+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437690+00:00
DEAL048,RULE_001,1.0.0,POL021,1.07,1.1,0.03,STANDARD,Expected margin (1.07%) is below the applicable policy minimum (1.1%) for policy POL021; shortfall=0.03pp.,2026-07-29T11:45:14.425047+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437719+00:00
DEAL049,RULE_001,1.0.0,POL004,0.95,1.55,0.6,STANDARD,Expected margin (0.95%) is below the applicable policy minimum (1.55%) for policy POL004; shortfall=0.6pp.,2026-07-29T11:45:14.425604+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437748+00:00
DEAL050,RULE_001,1.0.0,POL011,-0.7,0.65,1.35,CRITICAL,Expected margin (-0.7%) is below the applicable policy minimum (0.65%) for policy POL011; shortfall=1.35pp. Additionally below the absolute profitability floor of 0.1%.,2026-07-29T11:45:14.426173+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437777+00:00
DEAL051,RULE_001,1.0.0,POL013,1.65,2.0,0.35,STANDARD,Expected margin (1.65%) is below the applicable policy minimum (2.0%) for policy POL013; shortfall=0.35pp.,2026-07-29T11:45:14.427075+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437806+00:00
DEAL052,RULE_001,1.0.0,POL015,2.45,2.5,0.05,STANDARD,Expected margin (2.45%) is below the applicable policy minimum (2.5%) for policy POL015; shortfall=0.05pp.,2026-07-29T11:45:14.428874+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437836+00:00
DEAL053,RULE_001,1.0.0,POL002,2.12,2.45,0.33,STANDARD,Expected margin (2.12%) is below the applicable policy minimum (2.45%) for policy POL002; shortfall=0.33pp.,2026-07-29T11:45:14.430593+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437866+00:00
DEAL054,RULE_001,1.0.0,POL002,2.28,2.45,0.17,STANDARD,Expected margin (2.28%) is below the applicable policy minimum (2.45%) for policy POL002; shortfall=0.17pp.,2026-07-29T11:45:14.431473+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437895+00:00
DEAL055,RULE_001,1.0.0,POL021,1.07,1.1,0.03,STANDARD,Expected margin (1.07%) is below the applicable policy minimum (1.1%) for policy POL021; shortfall=0.03pp.,2026-07-29T11:45:14.432436+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437924+00:00
DEAL056,RULE_001,1.0.0,POL019,-0.05,0.6,0.65,CRITICAL,Expected margin (-0.05%) is below the applicable policy minimum (0.6%) for policy POL019; shortfall=0.65pp. Additionally below the absolute profitability floor of 0.75%.,2026-07-29T11:45:14.433120+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437952+00:00
DEAL057,RULE_001,1.0.0,POL019,-0.2,0.6,0.8,CRITICAL,Expected margin (-0.2%) is below the applicable policy minimum (0.6%) for policy POL019; shortfall=0.8pp. Additionally below the absolute profitability floor of 0.75%.,2026-07-29T11:45:14.433710+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.437983+00:00
DEAL058,RULE_001,1.0.0,POL013,1.65,2.0,0.35,STANDARD,Expected margin (1.65%) is below the applicable policy minimum (2.0%) for policy POL013; shortfall=0.35pp.,2026-07-29T11:45:14.434324+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.438012+00:00
DEAL059,RULE_001,1.0.0,POL017,1.0,1.5,0.5,STANDARD,Expected margin (1.0%) is below the applicable policy minimum (1.5%) for policy POL017; shortfall=0.5pp.,2026-07-29T11:45:14.434967+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.438058+00:00
DEAL060,RULE_001,1.0.0,POL005,1.2,1.75,0.55,STANDARD,Expected margin (1.2%) is below the applicable policy minimum (1.75%) for policy POL005; shortfall=0.55pp.,2026-07-29T11:45:14.435571+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.438090+00:00
