deal_id,recommended_price_pct,standard_margin_pct,risk_premium_pct,relationship_discount_pct,funding_cost_pct,source_file,load_timestamp
DEAL020,7.5,2.25,0.45,0.35,5.15,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL021,7.32,1.8,0.45,0.18,5.25,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL022,5.0,0.25,0.1,0.4,5.05,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL023,6.4,1.5,0.1,0.35,5.05,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL024,8.25,2.1,0.45,0.3,6.0,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL025,7.3,1.8,0.45,0.2,5.25,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL026,8.25,2.1,0.45,0.3,6.0,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL027,6.5,1.8,0.1,0.45,5.05,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL028,6.15,1.25,0.1,0.45,5.25,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL029,6.15,0.25,0.95,0.1,5.05,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL030,6.42,0.6,0.95,0.08,4.95,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL031,8.85,2.1,0.95,0.05,5.85,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL032,5.35,0.25,0.1,0.35,5.25,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL033,6.85,1.25,0.45,0.25,5.4,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL034,7.4,1.25,0.95,0.05,5.25,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL035,6.85,1.25,0.45,0.1,5.25,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL036,7.75,1.8,0.95,0.05,5.05,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL037,8.65,2.4,0.95,0.1,5.4,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL038,7.95,2.1,0.45,0.3,5.7,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL039,5.5,0.25,0.1,0.4,5.55,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL040,5.5,0.25,0.45,0.25,5.05,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL041,6.7,1.25,0.45,0.25,5.25,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL042,5.35,0.6,0.1,0.35,5.0,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL043,7.72,2.1,0.45,0.38,5.55,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL044,7.5,2.1,0.1,0.4,5.7,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL045,6.03,0.25,0.45,0.22,5.55,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL046,7.15,2.25,0.1,0.35,5.15,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL047,5.45,0.6,0.1,0.3,5.0,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL048,6.47,0.6,0.95,0.08,5.0,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL049,6.6,1.5,0.1,0.35,5.25,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL050,6.0,0.25,0.45,0.1,5.4,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL051,7.55,2.25,0.1,0.35,5.55,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL052,8.65,2.1,0.95,0.1,5.7,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL053,8.32,2.1,0.45,0.08,5.85,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL054,8.18,2.4,0.45,0.22,5.55,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL055,6.42,0.6,0.95,0.08,4.95,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL056,5.3,0.6,0.1,0.35,4.95,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL057,5.35,0.6,0.1,0.35,5.0,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL058,7.3,2.25,0.1,0.35,5.3,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL059,6.65,1.25,0.45,0.3,5.25,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL060,6.8,1.5,0.45,0.2,5.05,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
